StudentID,CourseCode,TestNumber,TestDate,SyllabusCovered,MaxMarks,MarksObtained
1RV22AI002,AI253IA,4,2023-10-30,100%,100,95
1RV22AI002,HS251TA,1,2023-08-01,33%,50,34
1RV22AI002,HS251TA,2,2023-08-31,33%,50,46
1RV22AI002,HS251TA,3,2023-09-30,33%,50,34
1RV22AI002,HS251TA,4,2023-10-30,100%,100,81
1RV22AI003,CD252IA,1,2023-08-01,33%,50,40
1RV22AI003,CD252IA,2,2023-08-31,33%,50,38
1RV22AI003,CD252IA,3,2023-09-30,33%,50,31
1RV22AI003,CD252IA,4,2023-10-30,100%,100,85
1RV22AI003,AI255TBA,1,2023-08-01,33%,50,41
1RV22AI003,AI255TBA,2,2023-08-31,33%,50,44
1RV22AI003,AI255TBA,3,2023-09-30,33%,50,44
1RV22AI003,AI255TBA,4,2023-10-30,100%,100,92
1RV22AI003,AI254TA,1,2023-08-01,33%,50,35
1RV22AI003,AI254TA,2,2023-08-31,33%,50,40
1RV22AI003,AI254TA,3,2023-09-30,33%,50,45
1RV22AI003,AI254TA,4,2023-10-30,100%,100,80
1RV22AI003,AI253IA,1,2023-08-01,33%,50,42
1RV22AI003,AI253IA,2,2023-08-31,33%,50,33
1RV22AI003,AI253IA,3,2023-09-30,33%,50,38
1RV22AI003,AI253IA,4,2023-10-30,100%,100,80
1RV22AI003,HS251TA,1,2023-08-01,33%,50,39
1RV22AI003,HS251TA,2,2023-08-31,33%,50,36
1RV22AI003,HS251TA,3,2023-09-30,33%,50,43
1RV22AI003,HS251TA,4,2023-10-30,100%,100,68
1RV22AI004,CD252IA,1,2023-08-01,33%,50,41
1RV22AI004,CD252IA,2,2023-08-31,33%,50,37
1RV22AI004,CD252IA,3,2023-09-30,33%,50,44
1RV22AI004,CD252IA,4,2023-10-30,100%,100,92
1RV22AI004,AI255TBA,1,2023-08-01,33%,50,43
1RV22AI004,AI255TBA,2,2023-08-31,33%,50,45
1RV22AI004,AI255TBA,3,2023-09-30,33%,50,37
1RV22AI004,AI255TBA,4,2023-10-30,100%,100,98
1RV22AI004,AI254TA,1,2023-08-01,33%,50,41
1RV22AI004,AI254TA,2,2023-08-31,33%,50,46
1RV22AI004,AI254TA,3,2023-09-30,33%,50,41
1RV22AI004,AI254TA,4,2023-10-30,100%,100,93
1RV22AI004,AI253IA,1,2023-08-01,33%,50,38
1RV22AI004,AI253IA,2,2023-08-31,33%,50,49
1RV22AI004,AI253IA,3,2023-09-30,33%,50,47
1RV22AI004,AI253IA,4,2023-10-30,100%,100,97
1RV22AI004,HS251TA,1,2023-08-01,33%,50,35
1RV22AI004,HS251TA,2,2023-08-31,33%,50,36
1RV22AI004,HS251TA,3,2023-09-30,33%,50,37
1RV22AI004,HS251TA,4,2023-10-30,100%,100,99
1RV22AI005,CD252IA,1,2023-08-01,33%,50,40
1RV22AI005,CD252IA,2,2023-08-31,33%,50,38
1RV22AI005,CD252IA,3,2023-09-30,33%,50,40
1RV22AI005,CD252IA,4,2023-10-30,100%,100,90
1RV22AI005,AI255TBA,1,2023-08-01,33%,50,43
1RV22AI005,AI255TBA,2,2023-08-31,33%,50,48
1RV22AI005,AI255TBA,3,2023-09-30,33%,50,43
1RV22AI005,AI255TBA,4,2023-10-30,100%,100,83
1RV22AI005,AI254TA,1,2023-08-01,33%,50,44
1RV22AI005,AI254TA,2,2023-08-31,33%,50,40
1RV22AI005,AI254TA,3,2023-09-30,33%,50,48
1RV22AI005,AI254TA,4,2023-10-30,100%,100,95
1RV22AI005,AI253IA,1,2023-08-01,33%,50,49
1RV22AI005,AI253IA,2,2023-08-31,33%,50,37
1RV22AI005,AI253IA,3,2023-09-30,33%,50,39
1RV22AI005,AI253IA,4,2023-10-30,100%,100,76
1RV22AI005,HS251TA,1,2023-08-01,33%,50,44
1RV22AI005,HS251TA,2,2023-08-31,33%,50,47
1RV22AI005,HS251TA,3,2023-09-30,33%,50,49
1RV22AI005,HS251TA,4,2023-10-30,100%,100,85
1RV22AI006,CD252IA,1,2023-08-01,33%,50,43
1RV22AI006,CD252IA,2,2023-08-31,33%,50,44
1RV22AI006,CD252IA,3,2023-09-30,33%,50,42
1RV22AI006,CD252IA,4,2023-10-30,100%,100,86
1RV22AI006,AI255TBA,1,2023-08-01,33%,50,38
1RV22AI006,AI255TBA,2,2023-08-31,33%,50,45
1RV22AI006,AI255TBA,3,2023-09-30,33%,50,46
1RV22AI006,AI255TBA,4,2023-10-30,100%,100,95
1RV22AI006,AI254TA,1,2023-08-01,33%,50,45
1RV22AI006,AI254TA,2,2023-08-31,33%,50,34
1RV22AI006,AI254TA,3,2023-09-30,33%,50,33
1RV22AI006,AI254TA,4,2023-10-30,100%,100,97
1RV22AI006,AI253IA,1,2023-08-01,33%,50,43
1RV22AI006,AI253IA,2,2023-08-31,33%,50,40
1RV22AI006,AI253IA,3,2023-09-30,33%,50,37
1RV22AI006,AI253IA,4,2023-10-30,100%,100,74
1RV22AI006,HS251TA,1,2023-08-01,33%,50,36
1RV22AI006,HS251TA,2,2023-08-31,33%,50,35
1RV22AI006,HS251TA,3,2023-09-30,33%,50,46
1RV22AI006,HS251TA,4,2023-10-30,100%,100,87
1RV22AI007,CD252IA,1,2023-08-01,33%,50,35
1RV22AI007,CD252IA,2,2023-08-31,33%,50,46
1RV22AI007,CD252IA,3,2023-09-30,33%,50,37
1RV22AI007,CD252IA,4,2023-10-30,100%,100,79
1RV22AI007,AI255TBA,1,2023-08-01,33%,50,45
1RV22AI007,AI255TBA,2,2023-08-31,33%,50,39
1RV22AI007,AI255TBA,3,2023-09-30,33%,50,45
1RV22AI007,AI255TBA,4,2023-10-30,100%,100,75
1RV22AI007,AI254TA,1,2023-08-01,33%,50,42
1RV22AI007,AI254TA,2,2023-08-31,33%,50,46
1RV22AI007,AI254TA,3,2023-09-30,33%,50,40
1RV22AI007,AI254TA,4,2023-10-30,100%,100,84
1RV22AI007,AI253IA,1,2023-08-01,33%,50,36
1RV22AI007,AI253IA,2,2023-08-31,33%,50,45
1RV22AI007,AI253IA,3,2023-09-30,33%,50,37
1RV22AI007,AI253IA,4,2023-10-30,100%,100,73
1RV22AI007,HS251TA,1,2023-08-01,33%,50,37
1RV22AI007,HS251TA,2,2023-08-31,33%,50,34
1RV22AI007,HS251TA,3,2023-09-30,33%,50,41
1RV22AI007,HS251TA,4,2023-10-30,100%,100,99
1RV22AI008,CD252IA,1,2023-08-01,33%,50,40
1RV22AI008,CD252IA,2,2023-08-31,33%,50,37
1RV22AI008,CD252IA,3,2023-09-30,33%,50,38
1RV22AI008,CD252IA,4,2023-10-30,100%,100,98
1RV22AI008,AI255TBA,1,2023-08-01,33%,50,36
1RV22AI008,AI255TBA,2,2023-08-31,33%,50,44
1RV22AI008,AI255TBA,3,2023-09-30,33%,50,36
1RV22AI008,AI255TBA,4,2023-10-30,100%,100,86
1RV22AI008,AI254TA,1,2023-08-01,33%,50,39
1RV22AI008,AI254TA,2,2023-08-31,33%,50,45
1RV22AI008,AI254TA,3,2023-09-30,33%,50,40
1RV22AI008,AI254TA,4,2023-10-30,100%,100,93
1RV22AI008,AI253IA,1,2023-08-01,33%,50,35
1RV22AI008,AI253IA,2,2023-08-31,33%,50,36
1RV22AI008,AI253IA,3,2023-09-30,33%,50,36
1RV22AI008,AI253IA,4,2023-10-30,100%,100,75
1RV22AI008,HS251TA,1,2023-08-01,33%,50,49
1RV22AI008,HS251TA,2,2023-08-31,33%,50,43
1RV22AI008,HS251TA,3,2023-09-30,33%,50,37
1RV22AI008,HS251TA,4,2023-10-30,100%,100,96
1RV22AI009,CD252IA,1,2023-08-01,33%,50,45
1RV22AI009,CD252IA,2,2023-08-31,33%,50,40
1RV22AI009,CD252IA,3,2023-09-30,33%,50,34
1RV22AI009,CD252IA,4,2023-10-30,100%,100,83
1RV22AI009,AI255TBA,1,2023-08-01,33%,50,32
1RV22AI009,AI255TBA,2,2023-08-31,33%,50,45
1RV22AI009,AI255TBA,3,2023-09-30,33%,50,32
1RV22AI009,AI255TBA,4,2023-10-30,100%,100,82
1RV22AI009,AI254TA,1,2023-08-01,33%,50,37
1RV22AI009,AI254TA,2,2023-08-31,33%,50,37
1RV22AI009,AI254TA,3,2023-09-30,33%,50,36
1RV22AI009,AI254TA,4,2023-10-30,100%,100,96
1RV22AI009,AI253IA,1,2023-08-01,33%,50,34
1RV22AI009,AI253IA,2,2023-08-31,33%,50,45
1RV22AI009,AI253IA,3,2023-09-30,33%,50,34
1RV22AI009,AI253IA,4,2023-10-30,100%,100,70
1RV22AI009,HS251TA,1,2023-08-01,33%,50,37
1RV22AI009,HS251TA,2,2023-08-31,33%,50,38
1RV22AI009,HS251TA,3,2023-09-30,33%,50,35
1RV22AI009,HS251TA,4,2023-10-30,100%,100,95
1RV22AI010,CD252IA,1,2023-08-01,33%,50,42
1RV22AI010,CD252IA,2,2023-08-31,33%,50,34
1RV22AI010,CD252IA,3,2023-09-30,33%,50,41
1RV22AI010,CD252IA,4,2023-10-30,100%,100,89
1RV22AI010,AI255TBA,1,2023-08-01,33%,50,36
1RV22AI010,AI255TBA,2,2023-08-31,33%,50,43
1RV22AI010,AI255TBA,3,2023-09-30,33%,50,44
1RV22AI010,AI255TBA,4,2023-10-30,100%,100,70
1RV22AI010,AI254TA,1,2023-08-01,33%,50,38
1RV22AI010,AI254TA,2,2023-08-31,33%,50,40
1RV22AI010,AI254TA,3,2023-09-30,33%,50,34
1RV22AI010,AI254TA,4,2023-10-30,100%,100,81
1RV22AI010,AI253IA,1,2023-08-01,33%,50,34
1RV22AI010,AI253IA,2,2023-08-31,33%,50,39
1RV22AI010,AI253IA,3,2023-09-30,33%,50,41
1RV22AI010,AI253IA,4,2023-10-30,100%,100,99
1RV22AI010,HS251TA,1,2023-08-01,33%,50,33
1RV22AI010,HS251TA,2,2023-08-31,33%,50,34
1RV22AI010,HS251TA,3,2023-09-30,33%,50,38
1RV22AI010,HS251TA,4,2023-10-30,100%,100,78
1RV22AI011,CD252IA,1,2023-08-01,33%,50,44
1RV22AI011,CD252IA,2,2023-08-31,33%,50,38
1RV22AI011,CD252IA,3,2023-09-30,33%,50,46
1RV22AI011,CD252IA,4,2023-10-30,100%,100,88
1RV22AI011,AI255TBA,1,2023-08-01,33%,50,40
1RV22AI011,AI255TBA,2,2023-08-31,33%,50,42
1RV22AI011,AI255TBA,3,2023-09-30,33%,50,45
1RV22AI011,AI255TBA,4,2023-10-30,100%,100,95
1RV22AI011,AI254TA,1,2023-08-01,33%,50,37
1RV22AI011,AI254TA,2,2023-08-31,33%,50,45
1RV22AI011,AI254TA,3,2023-09-30,33%,50,41
1RV22AI011,AI254TA,4,2023-10-30,100%,100,89
1RV22AI011,AI253IA,1,2023-08-01,33%,50,38
1RV22AI011,AI253IA,2,2023-08-31,33%,50,44
1RV22AI011,AI253IA,3,2023-09-30,33%,50,41
1RV22AI011,AI253IA,4,2023-10-30,100%,100,88
1RV22AI011,HS251TA,1,2023-08-01,33%,50,49
1RV22AI011,HS251TA,2,2023-08-31,33%,50,38
1RV22AI011,HS251TA,3,2023-09-30,33%,50,41
1RV22AI011,HS251TA,4,2023-10-30,100%,100,74
1RV22AI012,CD252IA,1,2023-08-01,33%,50,35
1RV22AI012,CD252IA,2,2023-08-31,33%,50,38
1RV22AI012,CD252IA,3,2023-09-30,33%,50,44
1RV22AI012,CD252IA,4,2023-10-30,100%,100,83
1RV22AI012,AI255TBA,1,2023-08-01,33%,50,35
1RV22AI012,AI255TBA,2,2023-08-31,33%,50,41
1RV22AI012,AI255TBA,3,2023-09-30,33%,50,36
1RV22AI012,AI255TBA,4,2023-10-30,100%,100,82
1RV22AI012,AI254TA,1,2023-08-01,33%,50,32
1RV22AI012,AI254TA,2,2023-08-31,33%,50,35
1RV22AI012,AI254TA,3,2023-09-30,33%,50,35
1RV22AI012,AI254TA,4,2023-10-30,100%,100,81
1RV22AI012,AI253IA,1,2023-08-01,33%,50,38
1RV22AI012,AI253IA,2,2023-08-31,33%,50,35
1RV22AI012,AI253IA,3,2023-09-30,33%,50,44
1RV22AI012,AI253IA,4,2023-10-30,100%,100,85
1RV22AI012,HS251TA,1,2023-08-01,33%,50,40
1RV22AI012,HS251TA,2,2023-08-31,33%,50,41
1RV22AI012,HS251TA,3,2023-09-30,33%,50,38
1RV22AI012,HS251TA,4,2023-10-30,100%,100,91
1RV22AI013,CD252IA,1,2023-08-01,33%,50,42
1RV22AI013,CD252IA,2,2023-08-31,33%,50,39
1RV22AI013,CD252IA,3,2023-09-30,33%,50,47
1RV22AI013,CD252IA,4,2023-10-30,100%,100,95
1RV22AI013,AI255TBA,1,2023-08-01,33%,50,37
1RV22AI013,AI255TBA,2,2023-08-31,33%,50,44
1RV22AI013,AI255TBA,3,2023-09-30,33%,50,46
1RV22AI013,AI255TBA,4,2023-10-30,100%,100,95
1RV22AI013,AI254TA,1,2023-08-01,33%,50,40
1RV22AI013,AI254TA,2,2023-08-31,33%,50,43
1RV22AI013,AI254TA,3,2023-09-30,33%,50,42
1RV22AI013,AI254TA,4,2023-10-30,100%,100,75
1RV22AI013,AI253IA,1,2023-08-01,33%,50,41
1RV22AI013,AI253IA,2,2023-08-31,33%,50,37
1RV22AI013,AI253IA,3,2023-09-30,33%,50,37
1RV22AI013,AI253IA,4,2023-10-30,100%,100,93
1RV22AI013,HS251TA,1,2023-08-01,33%,50,44
1RV22AI013,HS251TA,2,2023-08-31,33%,50,44
1RV22AI013,HS251TA,3,2023-09-30,33%,50,36
1RV22AI013,HS251TA,4,2023-10-30,100%,100,73
1RV22AI014,CD252IA,1,2023-08-01,33%,50,41
1RV22AI014,CD252IA,2,2023-08-31,33%,50,37
1RV22AI014,CD252IA,3,2023-09-30,33%,50,38
1RV22AI014,CD252IA,4,2023-10-30,100%,100,80
1RV22AI014,AI255TBA,1,2023-08-01,33%,50,45
1RV22AI014,AI255TBA,2,2023-08-31,33%,50,37
1RV22AI014,AI255TBA,3,2023-09-30,33%,50,36
1RV22AI014,AI255TBA,4,2023-10-30,100%,100,82
1RV22AI014,AI254TA,1,2023-08-01,33%,50,40
1RV22AI014,AI254TA,2,2023-08-31,33%,50,44
1RV22AI014,AI254TA,3,2023-09-30,33%,50,38
1RV22AI014,AI254TA,4,2023-10-30,100%,100,98
1RV22AI014,AI253IA,1,2023-08-01,33%,50,49
1RV22AI014,AI253IA,2,2023-08-31,33%,50,48
1RV22AI014,AI253IA,3,2023-09-30,33%,50,46
1RV22AI014,AI253IA,4,2023-10-30,100%,100,97
1RV22AI014,HS251TA,1,2023-08-01,33%,50,41
1RV22AI014,HS251TA,2,2023-08-31,33%,50,46
1RV22AI014,HS251TA,3,2023-09-30,33%,50,37
1RV22AI014,HS251TA,4,2023-10-30,100%,100,84
1RV22AI015,CD252IA,1,2023-08-01,33%,50,43
1RV22AI015,CD252IA,2,2023-08-31,33%,50,45
1RV22AI015,CD252IA,3,2023-09-30,33%,50,35
1RV22AI015,CD252IA,4,2023-10-30,100%,100,96
1RV22AI015,AI255TBA,1,2023-08-01,33%,50,37
1RV22AI015,AI255TBA,2,2023-08-31,33%,50,38
1RV22AI015,AI255TBA,3,2023-09-30,33%,50,41
1RV22AI015,AI255TBA,4,2023-10-30,100%,100,95
1RV22AI015,AI254TA,1,2023-08-01,33%,50,49
1RV22AI015,AI254TA,2,2023-08-31,33%,50,48
1RV22AI015,AI254TA,3,2023-09-30,33%,50,36
1RV22AI015,AI254TA,4,2023-10-30,100%,100,88
1RV22AI015,AI253IA,1,2023-08-01,33%,50,48
1RV22AI015,AI253IA,2,2023-08-31,33%,50,45
1RV22AI015,AI253IA,3,2023-09-30,33%,50,41
1RV22AI015,AI253IA,4,2023-10-30,100%,100,95
1RV22AI015,HS251TA,1,2023-08-01,33%,50,38
1RV22AI015,HS251TA,2,2023-08-31,33%,50,36
1RV22AI015,HS251TA,3,2023-09-30,33%,50,37
1RV22AI015,HS251TA,4,2023-10-30,100%,100,83
1RV22AI016,CD252IA,1,2023-08-01,33%,50,35
1RV22AI016,CD252IA,2,2023-08-31,33%,50,39
1RV22AI016,CD252IA,3,2023-09-30,33%,50,35
1RV22AI016,CD252IA,4,2023-10-30,100%,100,97
1RV22AI016,AI255TBA,1,2023-08-01,33%,50,43
1RV22AI016,AI255TBA,2,2023-08-31,33%,50,37
1RV22AI016,AI255TBA,3,2023-09-30,33%,50,45
1RV22AI016,AI255TBA,4,2023-10-30,100%,100,78
1RV22AI016,AI254TA,1,2023-08-01,33%,50,44
1RV22AI016,AI254TA,2,2023-08-31,33%,50,48
1RV22AI016,AI254TA,3,2023-09-30,33%,50,47
1RV22AI016,AI254TA,4,2023-10-30,100%,100,96
1RV22AI016,AI253IA,1,2023-08-01,33%,50,47
1RV22AI016,AI253IA,2,2023-08-31,33%,50,47
1RV22AI016,AI253IA,3,2023-09-30,33%,50,45
1RV22AI016,AI253IA,4,2023-10-30,100%,100,88
1RV22AI016,HS251TA,1,2023-08-01,33%,50,43
1RV22AI016,HS251TA,2,2023-08-31,33%,50,40
1RV22AI016,HS251TA,3,2023-09-30,33%,50,37
1RV22AI016,HS251TA,4,2023-10-30,100%,100,100
1RV22AI017,CD252IA,1,2023-08-01,33%,50,40
1RV22AI017,CD252IA,2,2023-08-31,33%,50,38
1RV22AI017,CD252IA,3,2023-09-30,33%,50,45
1RV22AI017,CD252IA,4,2023-10-30,100%,100,79
1RV22AI017,AI255TBA,1,2023-08-01,33%,50,40
1RV22AI017,AI255TBA,2,2023-08-31,33%,50,42
1RV22AI017,AI255TBA,3,2023-09-30,33%,50,42
1RV22AI017,AI255TBA,4,2023-10-30,100%,100,85
1RV22AI017,AI254TA,1,2023-08-01,33%,50,44
1RV22AI017,AI254TA,2,2023-08-31,33%,50,39
1RV22AI017,AI254TA,3,2023-09-30,33%,50,33
1RV22AI017,AI254TA,4,2023-10-30,100%,100,96
1RV22AI017,AI253IA,1,2023-08-01,33%,50,44
1RV22AI017,AI253IA,2,2023-08-31,33%,50,46
1RV22AI017,AI253IA,3,2023-09-30,33%,50,42
1RV22AI017,AI253IA,4,2023-10-30,100%,100,88
1RV22AI017,HS251TA,1,2023-08-01,33%,50,39
1RV22AI017,HS251TA,2,2023-08-31,33%,50,43
1RV22AI017,HS251TA,3,2023-09-30,33%,50,37
1RV22AI017,HS251TA,4,2023-10-30,100%,100,83
1RV22AI018,CD252IA,1,2023-08-01,33%,50,41
1RV22AI018,CD252IA,2,2023-08-31,33%,50,44
1RV22AI018,CD252IA,3,2023-09-30,33%,50,44
1RV22AI018,CD252IA,4,2023-10-30,100%,100,95
1RV22AI018,AI255TBA,1,2023-08-01,33%,50,43
1RV22AI018,AI255TBA,2,2023-08-31,33%,50,50
1RV22AI018,AI255TBA,3,2023-09-30,33%,50,41
1RV22AI018,AI255TBA,4,2023-10-30,100%,100,89
1RV22AI018,AI254TA,1,2023-08-01,33%,50,39
1RV22AI018,AI254TA,2,2023-08-31,33%,50,50
1RV22AI018,AI254TA,3,2023-09-30,33%,50,40
1RV22AI018,AI254TA,4,2023-10-30,100%,100,86
1RV22AI018,AI253IA,1,2023-08-01,33%,50,49
1RV22AI018,AI253IA,2,2023-08-31,33%,50,45
1RV22AI018,AI253IA,3,2023-09-30,33%,50,50
1RV22AI018,AI253IA,4,2023-10-30,100%,100,82
1RV22AI018,HS251TA,1,2023-08-01,33%,50,39
1RV22AI018,HS251TA,2,2023-08-31,33%,50,39
1RV22AI018,HS251TA,3,2023-09-30,33%,50,41
1RV22AI018,HS251TA,4,2023-10-30,100%,100,95
1RV22AI019,CD252IA,1,2023-08-01,33%,50,42
1RV22AI019,CD252IA,2,2023-08-31,33%,50,46
1RV22AI019,CD252IA,3,2023-09-30,33%,50,35
1RV22AI019,CD252IA,4,2023-10-30,100%,100,70
1RV22AI019,AI255TBA,1,2023-08-01,33%,50,34
1RV22AI019,AI255TBA,2,2023-08-31,33%,50,32
1RV22AI019,AI255TBA,3,2023-09-30,33%,50,38
1RV22AI019,AI255TBA,4,2023-10-30,100%,100,83
1RV22AI019,AI254TA,1,2023-08-01,33%,50,45
1RV22AI019,AI254TA,2,2023-08-31,33%,50,40
1RV22AI019,AI254TA,3,2023-09-30,33%,50,41
1RV22AI019,AI254TA,4,2023-10-30,100%,100,77
1RV22AI019,AI253IA,1,2023-08-01,33%,50,45
1RV22AI019,AI253IA,2,2023-08-31,33%,50,43
1RV22AI019,AI253IA,3,2023-09-30,33%,50,46
1RV22AI019,AI253IA,4,2023-10-30,100%,100,94
1RV22AI019,HS251TA,1,2023-08-01,33%,50,41
1RV22AI019,HS251TA,2,2023-08-31,33%,50,37
1RV22AI019,HS251TA,3,2023-09-30,33%,50,34
1RV22AI019,HS251TA,4,2023-10-30,100%,100,69
1RV22AI020,CD252IA,1,2023-08-01,33%,50,40
1RV22AI020,CD252IA,2,2023-08-31,33%,50,45
1RV22AI020,CD252IA,3,2023-09-30,33%,50,38
1RV22AI020,CD252IA,4,2023-10-30,100%,100,89
1RV22AI020,AI255TBA,1,2023-08-01,33%,50,37
1RV22AI020,AI255TBA,2,2023-08-31,33%,50,39
1RV22AI020,AI255TBA,3,2023-09-30,33%,50,47
1RV22AI020,AI255TBA,4,2023-10-30,100%,100,77
1RV22AI020,AI254TA,1,2023-08-01,33%,50,43
1RV22AI020,AI254TA,2,2023-08-31,33%,50,46
1RV22AI020,AI254TA,3,2023-09-30,33%,50,47
1RV22AI020,AI254TA,4,2023-10-30,100%,100,75
1RV22AI020,AI253IA,1,2023-08-01,33%,50,43
1RV22AI020,AI253IA,2,2023-08-31,33%,50,47
1RV22AI020,AI253IA,3,2023-09-30,33%,50,42
1RV22AI020,AI253IA,4,2023-10-30,100%,100,96
1RV22AI020,HS251TA,1,2023-08-01,33%,50,45
1RV22AI020,HS251TA,2,2023-08-31,33%,50,43
1RV22AI020,HS251TA,3,2023-09-30,33%,50,40
1RV22AI020,HS251TA,4,2023-10-30,100%,100,79
1RV22AI021,CD252IA,1,2023-08-01,33%,50,42
1RV22AI021,CD252IA,2,2023-08-31,33%,50,35
1RV22AI021,CD252IA,3,2023-09-30,33%,50,38
1RV22AI021,CD252IA,4,2023-10-30,100%,100,95
1RV22AI021,AI255TBA,1,2023-08-01,33%,50,46
1RV22AI021,AI255TBA,2,2023-08-31,33%,50,41
1RV22AI021,AI255TBA,3,2023-09-30,33%,50,47
1RV22AI021,AI255TBA,4,2023-10-30,100%,100,85
1RV22AI021,AI254TA,1,2023-08-01,33%,50,47
1RV22AI021,AI254TA,2,2023-08-31,33%,50,43
1RV22AI021,AI254TA,3,2023-09-30,33%,50,45
1RV22AI021,AI254TA,4,2023-10-30,100%,100,95
1RV22AI021,AI253IA,1,2023-08-01,33%,50,36
1RV22AI021,AI253IA,2,2023-08-31,33%,50,50
1RV22AI021,AI253IA,3,2023-09-30,33%,50,40
1RV22AI021,AI253IA,4,2023-10-30,100%,100,96
1RV22AI021,HS251TA,1,2023-08-01,33%,50,39
1RV22AI021,HS251TA,2,2023-08-31,33%,50,45
1RV22AI021,HS251TA,3,2023-09-30,33%,50,42
1RV22AI021,HS251TA,4,2023-10-30,100%,100,98
1RV22AI022,CD252IA,1,2023-08-01,33%,50,38
1RV22AI022,CD252IA,2,2023-08-31,33%,50,47
1RV22AI022,CD252IA,3,2023-09-30,33%,50,44
1RV22AI022,CD252IA,4,2023-10-30,100%,100,97
1RV22AI022,AI255TBA,1,2023-08-01,33%,50,48
1RV22AI022,AI255TBA,2,2023-08-31,33%,50,42
1RV22AI022,AI255TBA,3,2023-09-30,33%,50,45
1RV22AI022,AI255TBA,4,2023-10-30,100%,100,80
1RV22AI022,AI254TA,1,2023-08-01,33%,50,45
1RV22AI022,AI254TA,2,2023-08-31,33%,50,47
1RV22AI022,AI254TA,3,2023-09-30,33%,50,37
1RV22AI022,AI254TA,4,2023-10-30,100%,100,85
1RV22AI022,AI253IA,1,2023-08-01,33%,50,40
1RV22AI022,AI253IA,2,2023-08-31,33%,50,50
1RV22AI022,AI253IA,3,2023-09-30,33%,50,48
1RV22AI022,AI253IA,4,2023-10-30,100%,100,85
1RV22AI022,HS251TA,1,2023-08-01,33%,50,46
1RV22AI022,HS251TA,2,2023-08-31,33%,50,46
1RV22AI022,HS251TA,3,2023-09-30,33%,50,38
1RV22AI022,HS251TA,4,2023-10-30,100%,100,82
1RV22AI023,CD252IA,1,2023-08-01,33%,50,42
1RV22AI023,CD252IA,2,2023-08-31,33%,50,33
1RV22AI023,CD252IA,3,2023-09-30,33%,50,40
1RV22AI023,CD252IA,4,2023-10-30,100%,100,99
1RV22AI023,AI255TBA,1,2023-08-01,33%,50,43
1RV22AI023,AI255TBA,2,2023-08-31,33%,50,43
1RV22AI023,AI255TBA,3,2023-09-30,33%,50,46
1RV22AI023,AI255TBA,4,2023-10-30,100%,100,86
1RV22AI023,AI254TA,1,2023-08-01,33%,50,45
1RV22AI023,AI254TA,2,2023-08-31,33%,50,33
1RV22AI023,AI254TA,3,2023-09-30,33%,50,46
1RV22AI023,AI254TA,4,2023-10-30,100%,100,80
1RV22AI023,AI253IA,1,2023-08-01,33%,50,38
1RV22AI023,AI253IA,2,2023-08-31,33%,50,47
1RV22AI023,AI253IA,3,2023-09-30,33%,50,42
1RV22AI023,AI253IA,4,2023-10-30,100%,100,90
1RV22AI023,HS251TA,1,2023-08-01,33%,50,33
1RV22AI023,HS251TA,2,2023-08-31,33%,50,45
1RV22AI023,HS251TA,3,2023-09-30,33%,50,39
1RV22AI023,HS251TA,4,2023-10-30,100%,100,78
